index	state_key	max_q	q_values
94657	(4432408346624, 4432412541057)	0.34390000000000004	[0.0, 0.0, 0.0, 0.0, 0.34390000000000004, 0.0, 0.0]
38510	(270548992, 4398321254401)	0.271	[0.0, 0.0, 0.0, 0.0, 0.0, 0.271, 0.0]
64527	(34361851904, 4501127839745)	0.271	[0.0, 0.0, 0.0, 0.0, 0.271, -0.001, -0.001]
80104	(2097281, 13194145824897)	0.271	[0.0, 0.0, 0.271, 0.0, 0.0, 0.0, 0.0]
751	(270548992, 4398853931009)	0.271	[0.0, 0.271, 0.0, 0.0, 0.0, 0.0, 0.0]
3763	(34361851904, 4432408395904)	0.271	[0.0, 0.0, 0.0, 0.0, 0.271, -0.001, 0.0]
26156	(206162657283, 4638596186243)	0.19	[0.0, 0.19, 0.0, 0.0, 0.0, 0.0, 0.0]
12995	(268451968, 13194408018048)	0.19	[0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0]
4226	(16513, 268452227)	0.19	[0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0]
29048	(4432674684928, 4433211555843)	0.19	[0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0]
